replaceable	置き換えられる、代わりのある
intimacy	親密さ、親交関係
mockingly	あざけるように、からかって
fortunate	幸運な、運の良い
offensive	不快な、いやな
inopportune	間の悪い、都合の悪い
in response to	に応じて、に反応して
scoop up	すくい取る、くみ上げる
stand down	身を引く、後退する
rub in	刷り込む、繰り返し言う
steep	急勾配の、傾斜の急な
screw	ねじ
see out	見送る、見届ける
moustache	口ひげ
revolution	革命
technological	技術的な、科学技術の
loyal	忠実な、信念の厳格な
fall apart	崩壊する、ばらばらに壊れる
flour	小麦粉
vase	花瓶、つぼ
grain	穀物、穀類
crush	を押しつぶす
pill	丸薬、錠剤
temple	寺院、こめかみ、側頭
deadly	致命的な、命にかかわる
abuse	乱用、悪用
destination	目的地、行き先
residence	住宅、居住地
plunge into	飛び込む、突進する
embarrassment	困惑、当惑
all ears	耳を傾ける、熱心に聴く
realistic	現実的な、現実に即した
inherit	を受け継ぐ、相続する
launch	発売する、船をおろす
tidy	きちんとした、整った
uncertain	不確実な、確信を持てない
scarcely	ほとんどない
token	しるし、象徴
sticky	べたつく、ねばねばした
apologize	謝罪する、あやまる
halfway	途中の、中間の
pass over	を無視する、通り越す
yawn	あくびをする
translation	翻訳
assert	主張する
consciousness	意識、知覚
surrounding	周囲、付近
crawl	這う、這って進む
wilderness	荒野、未開の地
detective	探偵、刑事、捜査官
seal	密閉する、封鎖する
measurement	測定、計測
depart	出発する、立ち去る
determination	決定、決断
take offense at	に怒る、腹を立てる
preach	説教する、説く
scenery	風景
efficiency	効率性、能力、効率の良さ
to no avail	無駄に、役に立たずに
in the concrete	具体的に、具体化すると
competitor	競合他社、競争相手
drag on	長引く、続きすぎる
mercy	慈悲、哀れみ
differ	違う、異なる
infringe on	侵害する、侵犯する
formerly	以前は、かつて
favorable	好ましい、有利な
sew	縫う、繕う
pertain to	に関係する、にふさわしい
sting	刺す、突く
lie on	責任がある、のしかかる、横になる
adjustment	調整、調節
confession	告白、自白
artistic	芸術的な
chemistry	化学／化学的な
boil down to	煮詰める、結局、になる
scent	香り、におい
wicked	邪悪な、悪い
ups and downs	浮き沈み、上昇と下降
triumph	勝利
equate A with B	AとBを等しくする、AをBと同等にする
correctly	正しく、適切に
await	を待つ
agricultural	農業の
conscience	良心、道徳心
heal	癒す、治す
profitable	利益のある、収益性の高い
hasten	急ぐ／急ぎ
weaken	弱める、力を失う
complain of	を訴える、の不平を言う
resemble	に似ている
butcher	肉屋
engagement	約束、取り決め
the lion's share	最大の分け前、大きすぎる分け前
humble	卑しい、粗末な
sleep in	寝床に入る、ゆっくり寝る
aquarium	水族館
blend in	溶け合う、調和する
ignorance	無知、無学
flare up	急に燃え上がる、勃発する
commerce	商業、商売
clap	手をたたく
dusty	埃っぽい
unkind	不親切な、薄情な
pavement	舗装路
rule of thumb	親指で計測すること、大雑把な方法
fall prey to	の餌食になる、犠牲になる
restrain	抑える、抑制する
imperial	帝国の
pass off	次第に消える、徐々に消える
advertisement	広告、宣伝
fall in with	と知り合いになる、交際する
betray	裏切る、だます
coward	腰抜け、臆病者
obedient	従順な、素直な
kidnap	を誘拐する
ashtray	灰皿
pass for	として通る、通過する
porter	運搬人
faithful	忠実な、誠実な
hollow	くぼみ／空洞のある
after all	結局、最後は
hidden	隠された、隠秘の
limb	手足
admiration	感心、賞賛
prosperity	繁栄、成功
enthusiastic	熱狂的な、熱烈な
surrender	降伏する、投降する
miserable	悲惨な、みじめな
decay	腐る、朽ちる
enclose	を囲む、同封する
ambitious	野心的な、大志を抱く
bear the brunt of	の矢面に立つ、まともに受ける
guilt	罪悪感、有罪
occasional	時折の
take a beating	負ける、敗北する
puppy	子犬、幼犬
greedy	貪欲な、欲張りの
admire A for B	BについてAを賞賛する、AのBを素晴らしいと思う
bestow A on B	BにAを授ける、BにAを費やす
envy	うらやみ、ねたみ
partial	部分的な、一部の
awfully	ひどく、恐ろしく
by the same token	同様に、さらに
razor	かみそり
nap	昼寝、ひと眠り
rejoice	をうれしがる、喜ぶ
heroic	英雄的な、勇ましい
descend	下降する、降りる
multiply	掛け算する、乗算する
make haste	急ぐ、手早くする
drum up	呼び集める、募集する
formation	形成、構成
namely	すなわち、つまり
mighty	強力な、精力のある
pop up	飛び出す、出現する
handful	一握りの
pronounce	を発音する
pay down	頭金として払う、即金で払う
saucer	受け皿
outer	外に、外部の
despair	絶望、失望
antique	骨董の、古風な
glory	栄光、名誉
immense	巨大な、莫大な
faint	かすかな、ぼんやりした
insult	侮辱する、はずかしめる
forecast	を予測する
chew	を噛む
set forth	説明する、を明らかにする
scholarship	奨学金、育英資金
fatal	致命的な、運命の
repay	返済する、報いる
deceive	を欺く、だます
out of the woods	森の外へ、困難を脱して
salty	塩辛い、塩のきいた
in other words	言い換えれば、他の言葉で言うと
frankly	率直に、直接的に
land A with B	AにBを引き受けさせる、AにBをやらせる
ache	痛み
actively	積極的に、活発に
composer	作曲家
postpone	を延期する、延ばす
issue A to B	AをBに支給する、発行する
from hand to mouth	その日暮らしで、将来の備えをしないで
monument	記念碑
cruelty	残酷さ、残虐性
go nuts	気がふれる、怒り狂う
canal	運河
amaze	をびっくりさせる、驚かせる
prolong	を延長する、延ばす
bud	つぼみ
hatred	憎しみ、憎悪
